cgpa,ssc,hsc,internships,projects,aptitude,communication,training,placed
9.56,75.0,64.0,1.0,2.0,100.0,6.0,0.0,1
8.76,57.0,63.0,0.0,2.0,55.0,6.0,1.0,1
6.29,53.0,67.0,0.0,1.0,49.0,7.0,1.0,0
8.32,56.0,84.0,3.0,2.0,66.0,5.0,0.0,1
9.6,83.0,56.0,0.0,4.0,75.0,9.0,0.0,1
5.37,51.0,94.0,0.0,1.0,78.0,4.0,1.0,0
6.68,69.0,83.0,3.0,3.0,50.0,7.0,0.0,1
9.41,69.0,81.0,3.0,3.0,51.0,2.0,1.0,1
8.12,55.0,88.0,2.0,5.0,84.0,1.0,0.0,1
7.16,62.0,86.0,1.0,5.0,57.0,3.0,0.0,0
6.88,95.0,74.0,3.0,0.0,85.0,5.0,1.0,1
9.29,85.0,65.0,3.0,4.0,72.0,3.0,1.0,1
7.75,59.0,77.0,1.0,0.0,56.0,7.0,1.0,1
7.29,85.0,89.0,2.0,1.0,97.0,8.0,0.0,1
9.79,87.0,72.0,2.0,3.0,57.0,3.0,0.0,1
5.58,60.0,83.0,2.0,4.0,88.0,2.0,1.0,1
9.69,85.0,72.0,3.0,5.0,82.0,7.0,0.0,1
6.52,55.0,78.0,2.0,0.0,84.0,9.0,0.0,1
5.39,54.0,86.0,0.0,1.0,89.0,4.0,1.0,0
7.08,95.0,70.0,0.0,3.0,99.0,9.0,1.0,1
5.46,91.0,82.0,0.0,4.0,79.0,9.0,0.0,1
7.24,76.0,90.0,1.0,1.0,95.0,5.0,0.0,1
8.14,80.0,69.0,2.0,2.0,48.0,9.0,0.0,1
8.59,64.0,56.0,3.0,1.0,87.0,9.0,1.0,1
7.13,64.0,58.0,1.0,3.0,59.0,2.0,1.0,0
8.14,87.0,51.0,0.0,0.0,53.0,7.0,1.0,0
8.23,77.0,91.0,3.0,3.0,48.0,4.0,0.0,1
9.34,52.0,83.0,2.0,5.0,90.0,9.0,1.0,1
5.86,58.0,58.0,2.0,1.0,78.0,2.0,1.0,1
9.43,50.0,60.0,0.0,5.0,89.0,9.0,1.0,1
9.39,90.0,73.0,0.0,0.0,43.0,9.0,1.0,1
8.73,60.0,59.0,0.0,5.0,41.0,5.0,1.0,1
8.18,51.0,56.0,2.0,1.0,46.0,3.0,1.0,0
8.48,91.0,52.0,2.0,3.0,73.0,5.0,1.0,1
6.73,61.0,59.0,2.0,5.0,63.0,1.0,1.0,1
7.72,53.0,63.0,1.0,3.0,88.0,3.0,1.0,1
8.68,76.0,67.0,2.0,2.0,93.0,9.0,1.0,1
6.37,59.0,71.0,1.0,2.0,45.0,1.0,1.0,0
7.77,53.0,64.0,2.0,5.0,95.0,4.0,0.0,1
7.94,80.0,72.0,3.0,0.0,41.0,3.0,1.0,0
9.72,85.0,58.0,2.0,1.0,58.0,2.0,0.0,1
6.94,79.0,61.0,1.0,1.0,64.0,2.0,0.0,0
5.48,86.0,51.0,3.0,1.0,54.0,1.0,0.0,0
5.66,77.0,84.0,0.0,5.0,78.0,4.0,1.0,1
7.66,61.0,50.0,1.0,3.0,49.0,4.0,0.0,0
5.39,71.0,90.0,3.0,1.0,81.0,1.0,0.0,0
8.02,83.0,68.0,0.0,0.0,99.0,2.0,1.0,1
6.22,72.0,61.0,2.0,5.0,75.0,1.0,0.0,1
9.31,80.0,75.0,2.0,5.0,72.0,1.0,0.0,1
6.71,79.0,51.0,3.0,4.0,42.0,5.0,0.0,1
7.32,61.0,77.0,2.0,2.0,79.0,5.0,0.0,1
5.2,93.0,60.0,2.0,1.0,90.0,10.0,0.0,1
8.18,53.0,58.0,2.0,4.0,88.0,4.0,1.0,1
8.28,86.0,57.0,2.0,4.0,56.0,3.0,1.0,1
5.62,80.0,76.0,2.0,1.0,43.0,9.0,1.0,0
6.02,65.0,60.0,3.0,3.0,53.0,3.0,1.0,1
6.21,80.0,93.0,0.0,0.0,63.0,1.0,1.0,0
5.89,50.0,74.0,0.0,1.0,78.0,3.0,0.0,0
6.65,71.0,52.0,3.0,4.0,91.0,1.0,1.0,1
8.13,94.0,91.0,3.0,1.0,45.0,4.0,1.0,1
8.3,95.0,67.0,0.0,0.0,57.0,7.0,1.0,1
9.59,57.0,89.0,1.0,1.0,55.0,1.0,1.0,1
6.69,84.0,54.0,2.0,0.0,63.0,10.0,1.0,1
8.61,61.0,83.0,0.0,1.0,93.0,5.0,1.0,1
8.6,71.0,75.0,1.0,1.0,91.0,4.0,0.0,1
6.13,70.0,88.0,0.0,2.0,71.0,4.0,1.0,0
8.64,72.0,92.0,1.0,2.0,81.0,2.0,0.0,1
8.91,50.0,50.0,2.0,2.0,53.0,6.0,0.0,1
9.75,67.0,76.0,2.0,5.0,94.0,6.0,0.0,1
9.03,69.0,74.0,1.0,4.0,93.0,2.0,0.0,1
7.99,62.0,82.0,1.0,3.0,45.0,1.0,1.0,0
6.82,71.0,94.0,0.0,2.0,88.0,2.0,1.0,1
7.68,65.0,82.0,0.0,1.0,68.0,8.0,1.0,1
7.67,78.0,78.0,3.0,3.0,50.0,2.0,1.0,1
9.58,56.0,91.0,3.0,0.0,73.0,6.0,0.0,1
9.56,94.0,72.0,3.0,4.0,43.0,10.0,1.0,1
8.67,89.0,77.0,3.0,4.0,41.0,10.0,1.0,1
6.61,58.0,59.0,1.0,5.0,62.0,1.0,0.0,0
5.9,64.0,52.0,3.0,1.0,50.0,2.0,0.0,0
6.39,90.0,73.0,1.0,3.0,49.0,8.0,0.0,0
6.46,53.0,82.0,2.0,3.0,63.0,2.0,0.0,0
7.91,52.0,64.0,0.0,0.0,62.0,3.0,0.0,0
5.75,54.0,55.0,0.0,4.0,80.0,5.0,0.0,1
8.06,89.0,53.0,3.0,3.0,86.0,1.0,1.0,1
7.4,80.0,81.0,1.0,1.0,97.0,9.0,0.0,1
6.79,74.0,57.0,0.0,0.0,61.0,4.0,0.0,0
6.55,60.0,74.0,3.0,0.0,50.0,2.0,0.0,0
9.07,82.0,84.0,2.0,4.0,42.0,10.0,0.0,1
5.1,74.0,92.0,2.0,3.0,55.0,2.0,1.0,0
8.01,85.0,80.0,1.0,5.0,79.0,2.0,0.0,1
5.1,86.0,82.0,2.0,2.0,67.0,4.0,1.0,0
6.21,83.0,62.0,3.0,0.0,73.0,3.0,0.0,1
6.79,78.0,60.0,2.0,5.0,50.0,4.0,0.0,1
7.58,57.0,54.0,0.0,4.0,50.0,5.0,0.0,0
6.72,65.0,69.0,0.0,1.0,49.0,8.0,0.0,0
9.74,95.0,51.0,0.0,5.0,59.0,5.0,1.0,1
8.86,83.0,74.0,3.0,0.0,59.0,8.0,1.0,1
7.27,75.0,64.0,2.0,4.0,97.0,4.0,0.0,1
5.28,81.0,56.0,0.0,2.0,63.0,8.0,0.0,0
6.53,84.0,69.0,3.0,1.0,99.0,7.0,1.0,1
8.98,80.0,69.0,1.0,2.0,76.0,7.0,0.0,1
6.49,81.0,51.0,0.0,5.0,77.0,9.0,1.0,1
6.76,70.0,69.0,3.0,0.0,66.0,9.0,0.0,1
6.42,79.0,84.0,0.0,1.0,54.0,7.0,0.0,0
8.36,66.0,67.0,0.0,4.0,40.0,7.0,1.0,1
8.74,54.0,76.0,3.0,2.0,40.0,8.0,0.0,1
8.61,64.0,68.0,1.0,0.0,70.0,1.0,0.0,0
8.75,78.0,86.0,3.0,5.0,59.0,2.0,0.0,1
8.15,59.0,70.0,2.0,1.0,76.0,4.0,1.0,1
6.58,94.0,94.0,3.0,5.0,83.0,3.0,0.0,1
6.57,74.0,54.0,0.0,2.0,67.0,2.0,0.0,0
5.92,60.0,68.0,3.0,1.0,93.0,9.0,1.0,1
9.58,70.0,83.0,2.0,3.0,65.0,2.0,0.0,1
8.91,78.0,94.0,1.0,4.0,55.0,9.0,0.0,1
7.64,88.0,92.0,2.0,0.0,84.0,1.0,1.0,1
5.51,70.0,54.0,3.0,2.0,97.0,9.0,0.0,1
7.79,88.0,53.0,0.0,5.0,40.0,5.0,0.0,0
5.84,66.0,53.0,2.0,3.0,47.0,8.0,1.0,1
9.42,83.0,80.0,2.0,4.0,59.0,7.0,1.0,1
8.77,50.0,58.0,2.0,0.0,95.0,2.0,0.0,1
9.5,93.0,87.0,0.0,3.0,95.0,3.0,1.0,1
5.51,83.0,61.0,3.0,5.0,93.0,6.0,0.0,1
7.31,56.0,55.0,2.0,5.0,100.0,6.0,1.0,1
9.52,75.0,60.0,3.0,1.0,45.0,9.0,0.0,1
7.72,58.0,89.0,3.0,1.0,74.0,7.0,0.0,1
7.93,52.0,77.0,3.0,2.0,62.0,3.0,1.0,1
7.55,80.0,91.0,2.0,2.0,96.0,9.0,1.0,1
5.23,72.0,50.0,1.0,5.0,42.0,6.0,0.0,0
6.19,91.0,56.0,3.0,0.0,97.0,6.0,0.0,1
5.44,78.0,70.0,0.0,1.0,70.0,9.0,1.0,1
7.9,83.0,90.0,0.0,0.0,74.0,8.0,0.0,1
5.08,53.0,71.0,3.0,0.0,50.0,5.0,0.0,0
7.3,93.0,75.0,1.0,5.0,55.0,5.0,0.0,1
6.36,51.0,90.0,3.0,5.0,54.0,10.0,1.0,1
8.51,74.0,72.0,0.0,0.0,40.0,10.0,1.0,1
8.07,71.0,66.0,2.0,3.0,52.0,6.0,1.0,1
8.42,62.0,87.0,0.0,4.0,52.0,1.0,1.0,0
7.08,86.0,71.0,1.0,1.0,94.0,10.0,1.0,1
7.8,88.0,64.0,3.0,2.0,49.0,10.0,0.0,1
8.87,68.0,58.0,3.0,1.0,87.0,6.0,0.0,1
7.54,53.0,80.0,0.0,3.0,84.0,1.0,0.0,0
8.9,56.0,76.0,0.0,3.0,50.0,5.0,0.0,0
5.79,52.0,54.0,0.0,4.0,84.0,8.0,1.0,1
9.4,70.0,86.0,2.0,4.0,42.0,9.0,1.0,1
7.91,87.0,55.0,0.0,4.0,96.0,5.0,0.0,1
6.31,78.0,51.0,2.0,3.0,85.0,5.0,1.0,1
8.54,68.0,64.0,2.0,0.0,61.0,1.0,1.0,1
6.94,58.0,78.0,2.0,3.0,54.0,10.0,0.0,1
8.57,95.0,95.0,0.0,1.0,67.0,6.0,1.0,1
6.38,50.0,62.0,0.0,5.0,82.0,3.0,1.0,1
7.45,71.0,94.0,2.0,5.0,99.0,10.0,0.0,1
6.03,74.0,71.0,1.0,2.0,65.0,10.0,1.0,1
5.58,52.0,73.0,2.0,2.0,47.0,5.0,1.0,0
7.84,67.0,76.0,0.0,5.0,82.0,4.0,0.0,1
7.83,72.0,72.0,0.0,2.0,63.0,6.0,0.0,1
9.37,65.0,92.0,2.0,1.0,45.0,5.0,1.0,1
7.79,56.0,63.0,3.0,5.0,63.0,8.0,0.0,1
9.11,62.0,78.0,0.0,3.0,45.0,1.0,1.0,0
7.11,80.0,73.0,0.0,2.0,84.0,1.0,1.0,1
6.97,51.0,60.0,3.0,1.0,59.0,8.0,0.0,1
6.36,87.0,65.0,1.0,0.0,50.0,2.0,0.0,0
8.89,51.0,91.0,3.0,0.0,90.0,7.0,1.0,1
6.49,89.0,55.0,3.0,4.0,82.0,3.0,1.0,1
7.89,52.0,77.0,0.0,1.0,67.0,5.0,0.0,0
8.38,66.0,80.0,3.0,2.0,41.0,6.0,0.0,1
8.37,65.0,67.0,0.0,1.0,85.0,8.0,0.0,1
5.9,92.0,94.0,1.0,3.0,41.0,5.0,0.0,0
5.4,55.0,78.0,0.0,2.0,66.0,5.0,0.0,0
5.48,95.0,77.0,0.0,5.0,62.0,8.0,1.0,1
8.96,76.0,89.0,0.0,3.0,78.0,8.0,1.0,1
7.38,95.0,64.0,2.0,1.0,50.0,4.0,1.0,0
5.97,69.0,60.0,0.0,0.0,61.0,9.0,0.0,0
6.98,79.0,88.0,2.0,4.0,79.0,4.0,1.0,1
6.37,52.0,64.0,0.0,3.0,92.0,4.0,0.0,1
8.69,93.0,54.0,3.0,3.0,43.0,3.0,1.0,1
9.16,79.0,66.0,0.0,3.0,71.0,9.0,0.0,1
8.95,72.0,85.0,3.0,1.0,41.0,1.0,1.0,1
6.54,78.0,84.0,2.0,3.0,65.0,9.0,1.0,1
7.32,93.0,80.0,2.0,2.0,69.0,9.0,0.0,1
6.04,57.0,71.0,2.0,1.0,43.0,8.0,1.0,0
5.72,94.0,80.0,1.0,1.0,76.0,7.0,0.0,1
7.24,67.0,75.0,2.0,4.0,75.0,2.0,1.0,1
5.97,87.0,68.0,2.0,5.0,82.0,1.0,0.0,1
6.31,73.0,76.0,1.0,0.0,40.0,7.0,1.0,0
7.54,60.0,54.0,0.0,3.0,72.0,4.0,0.0,1
5.62,73.0,80.0,3.0,5.0,52.0,5.0,0.0,1
6.74,51.0,82.0,3.0,2.0,55.0,4.0,0.0,1
5.55,95.0,94.0,2.0,3.0,90.0,8.0,0.0,1
6.92,68.0,90.0,1.0,4.0,47.0,1.0,1.0,0
5.62,62.0,59.0,3.0,2.0,56.0,1.0,0.0,0
7.95,65.0,50.0,2.0,2.0,41.0,4.0,0.0,0
6.08,67.0,74.0,0.0,4.0,41.0,5.0,0.0,0
9.78,58.0,69.0,0.0,4.0,77.0,1.0,1.0,1
8.91,63.0,61.0,1.0,1.0,93.0,2.0,0.0,1
5.56,74.0,63.0,3.0,4.0,78.0,2.0,1.0,1
9.62,73.0,63.0,3.0,0.0,83.0,4.0,1.0,1
8.46,91.0,82.0,3.0,4.0,83.0,7.0,0.0,1
6.59,51.0,92.0,1.0,2.0,62.0,7.0,0.0,1
8.46,54.0,70.0,0.0,2.0,49.0,5.0,1.0,0
5.61,87.0,63.0,1.0,2.0,44.0,2.0,1.0,0
6.95,53.0,93.0,2.0,5.0,71.0,2.0,1.0,1
8.96,87.0,53.0,1.0,5.0,61.0,7.0,0.0,1
8.26,68.0,55.0,1.0,2.0,85.0,7.0,1.0,1
8.67,76.0,76.0,1.0,5.0,92.0,8.0,0.0,1
8.86,60.0,60.0,1.0,0.0,57.0,8.0,0.0,1
9.75,56.0,59.0,3.0,2.0,79.0,7.0,0.0,1
6.51,50.0,66.0,1.0,1.0,73.0,2.0,1.0,0
9.69,58.0,93.0,0.0,5.0,90.0,8.0,0.0,1
5.18,77.0,72.0,1.0,3.0,72.0,2.0,1.0,0
9.13,95.0,69.0,0.0,3.0,85.0,5.0,1.0,1
6.22,53.0,75.0,2.0,2.0,78.0,4.0,1.0,1
6.48,82.0,55.0,1.0,5.0,65.0,5.0,1.0,1
6.28,77.0,61.0,2.0,3.0,88.0,3.0,0.0,1
7.88,55.0,54.0,2.0,0.0,64.0,7.0,0.0,1
6.15,77.0,78.0,1.0,5.0,64.0,9.0,0.0,1
7.84,88.0,64.0,2.0,3.0,68.0,10.0,0.0,1
8.83,64.0,81.0,2.0,1.0,58.0,6.0,0.0,1
6.29,68.0,60.0,1.0,2.0,47.0,10.0,0.0,0
8.91,61.0,81.0,3.0,4.0,95.0,10.0,1.0,1
5.55,60.0,88.0,3.0,2.0,44.0,8.0,0.0,0
5.58,91.0,62.0,0.0,2.0,74.0,5.0,0.0,0
8.51,76.0,58.0,1.0,4.0,68.0,1.0,0.0,1
7.52,85.0,63.0,1.0,1.0,84.0,9.0,1.0,1
5.23,61.0,85.0,2.0,0.0,84.0,10.0,0.0,1
7.5,85.0,92.0,2.0,2.0,87.0,10.0,1.0,1
7.02,71.0,83.0,2.0,2.0,49.0,7.0,0.0,1
8.17,70.0,68.0,3.0,5.0,75.0,4.0,0.0,1
7.42,63.0,72.0,1.0,4.0,93.0,10.0,0.0,1
5.94,83.0,51.0,1.0,3.0,75.0,4.0,1.0,1
7.35,79.0,64.0,3.0,5.0,88.0,9.0,0.0,1
8.63,65.0,52.0,1.0,2.0,100.0,10.0,0.0,1
8.32,56.0,76.0,2.0,1.0,48.0,3.0,0.0,0
7.55,74.0,92.0,3.0,1.0,67.0,7.0,1.0,1
5.06,88.0,80.0,1.0,1.0,47.0,6.0,0.0,0
6.68,69.0,69.0,2.0,2.0,69.0,6.0,1.0,1
5.35,64.0,94.0,2.0,3.0,86.0,5.0,0.0,1
5.6,65.0,83.0,0.0,2.0,67.0,2.0,0.0,0
6.33,87.0,58.0,0.0,4.0,58.0,9.0,1.0,1
5.31,73.0,75.0,3.0,4.0,71.0,8.0,1.0,1
9.16,53.0,80.0,2.0,1.0,80.0,4.0,0.0,1
8.28,69.0,57.0,2.0,3.0,77.0,10.0,1.0,1
8.02,93.0,94.0,0.0,0.0,96.0,2.0,1.0,1
8.93,95.0,76.0,2.0,5.0,44.0,6.0,1.0,1
9.23,89.0,76.0,2.0,3.0,88.0,2.0,1.0,1
8.0,60.0,63.0,1.0,0.0,56.0,9.0,0.0,1
8.59,94.0,80.0,3.0,2.0,44.0,10.0,0.0,1
8.66,63.0,63.0,3.0,5.0,61.0,3.0,1.0,1
9.26,65.0,68.0,2.0,2.0,89.0,9.0,0.0,1
9.26,70.0,59.0,1.0,4.0,86.0,6.0,1.0,1
5.66,76.0,53.0,1.0,3.0,97.0,1.0,1.0,1
6.68,52.0,58.0,2.0,1.0,55.0,1.0,1.0,0
9.46,60.0,95.0,1.0,0.0,52.0,9.0,1.0,1
5.06,71.0,52.0,3.0,0.0,51.0,4.0,0.0,0
6.87,77.0,78.0,3.0,3.0,79.0,1.0,0.0,1
8.25,69.0,90.0,1.0,5.0,98.0,4.0,0.0,1
9.46,58.0,52.0,3.0,5.0,50.0,3.0,0.0,1
6.99,66.0,63.0,1.0,2.0,76.0,8.0,0.0,1
7.45,84.0,78.0,3.0,5.0,43.0,1.0,1.0,1
9.51,69.0,60.0,1.0,0.0,63.0,5.0,0.0,1
5.05,63.0,66.0,3.0,5.0,43.0,6.0,1.0,1
5.27,73.0,65.0,0.0,5.0,82.0,3.0,1.0,1
7.04,89.0,81.0,2.0,1.0,99.0,4.0,0.0,1
6.33,89.0,60.0,1.0,4.0,83.0,7.0,0.0,1
7.57,88.0,52.0,3.0,2.0,94.0,2.0,1.0,1
7.36,82.0,80.0,1.0,1.0,45.0,2.0,0.0,0
5.9,50.0,88.0,0.0,2.0,50.0,6.0,0.0,0
6.82,89.0,53.0,2.0,5.0,63.0,9.0,0.0,1
6.19,91.0,72.0,2.0,0.0,66.0,6.0,1.0,1
8.88,70.0,65.0,3.0,1.0,99.0,8.0,1.0,1
7.65,74.0,52.0,1.0,0.0,81.0,4.0,1.0,1
6.8,72.0,79.0,0.0,1.0,79.0,6.0,0.0,1
6.84,68.0,92.0,2.0,2.0,68.0,1.0,0.0,0
9.23,72.0,68.0,1.0,4.0,52.0,4.0,1.0,1
7.23,80.0,54.0,3.0,0.0,97.0,3.0,0.0,1
5.31,68.0,85.0,2.0,5.0,58.0,10.0,0.0,1
7.08,83.0,87.0,1.0,2.0,64.0,10.0,1.0,1
5.01,83.0,68.0,1.0,5.0,81.0,7.0,0.0,1
6.88,94.0,61.0,0.0,1.0,46.0,8.0,0.0,0
7.79,53.0,65.0,1.0,0.0,80.0,8.0,0.0,1
6.8,77.0,66.0,3.0,2.0,43.0,2.0,0.0,0
5.61,94.0,71.0,0.0,3.0,85.0,3.0,1.0,1
6.65,90.0,62.0,3.0,1.0,40.0,8.0,0.0,1
7.75,53.0,84.0,0.0,1.0,74.0,9.0,0.0,1
8.7,65.0,87.0,2.0,5.0,77.0,1.0,0.0,1
5.92,54.0,65.0,1.0,5.0,81.0,7.0,0.0,1
5.59,92.0,89.0,2.0,4.0,91.0,10.0,1.0,1
5.9,57.0,50.0,0.0,0.0,73.0,8.0,0.0,0
6.69,60.0,93.0,3.0,2.0,42.0,10.0,0.0,1
8.13,64.0,94.0,1.0,3.0,44.0,5.0,0.0,0
8.47,86.0,70.0,3.0,3.0,66.0,2.0,0.0,1
6.07,89.0,83.0,2.0,3.0,75.0,8.0,1.0,1
8.71,60.0,61.0,2.0,5.0,74.0,6.0,0.0,1
6.21,84.0,71.0,0.0,4.0,84.0,8.0,0.0,1
8.37,77.0,56.0,2.0,3.0,73.0,1.0,1.0,1
6.34,82.0,68.0,3.0,0.0,56.0,5.0,0.0,0
5.75,53.0,57.0,2.0,1.0,54.0,2.0,0.0,0
5.23,82.0,69.0,1.0,5.0,56.0,2.0,1.0,0
9.23,66.0,93.0,1.0,4.0,99.0,6.0,0.0,1
6.48,72.0,71.0,3.0,4.0,51.0,3.0,1.0,1
5.52,67.0,78.0,0.0,4.0,40.0,7.0,0.0,0
8.65,78.0,92.0,0.0,0.0,41.0,1.0,1.0,0
8.15,53.0,51.0,3.0,4.0,69.0,8.0,1.0,1
9.66,67.0,57.0,0.0,4.0,52.0,2.0,0.0,0
7.59,83.0,94.0,3.0,2.0,54.0,7.0,1.0,1
7.29,79.0,76.0,1.0,2.0,75.0,1.0,0.0,0
7.12,70.0,95.0,3.0,5.0,92.0,2.0,0.0,1
8.79,60.0,65.0,0.0,2.0,100.0,8.0,1.0,1
9.44,78.0,63.0,3.0,4.0,52.0,5.0,0.0,1
5.51,57.0,85.0,0.0,0.0,57.0,8.0,1.0,0
7.07,52.0,95.0,1.0,4.0,69.0,4.0,1.0,1
8.9,60.0,50.0,0.0,3.0,55.0,7.0,0.0,1
9.58,85.0,89.0,0.0,3.0,42.0,1.0,1.0,0
5.73,70.0,88.0,2.0,2.0,44.0,1.0,1.0,0
9.46,62.0,68.0,1.0,3.0,96.0,6.0,1.0,1
9.25,80.0,73.0,2.0,0.0,81.0,6.0,1.0,1
5.31,87.0,74.0,2.0,1.0,89.0,4.0,0.0,1
7.02,88.0,92.0,2.0,5.0,93.0,2.0,0.0,1
6.02,94.0,78.0,1.0,0.0,78.0,10.0,0.0,1
9.45,81.0,86.0,3.0,5.0,59.0,4.0,0.0,1
9.67,54.0,90.0,1.0,5.0,66.0,3.0,0.0,1
7.34,55.0,53.0,1.0,0.0,74.0,2.0,1.0,0
9.13,91.0,69.0,2.0,2.0,44.0,9.0,1.0,1
6.86,93.0,74.0,2.0,2.0,76.0,7.0,0.0,1
8.31,58.0,74.0,3.0,5.0,84.0,4.0,0.0,1
9.24,79.0,62.0,1.0,2.0,52.0,1.0,0.0,0
5.97,86.0,51.0,0.0,4.0,92.0,1.0,0.0,0
6.19,76.0,66.0,2.0,1.0,89.0,5.0,1.0,1
9.24,67.0,73.0,0.0,0.0,71.0,4.0,1.0,1
8.01,64.0,58.0,3.0,3.0,50.0,2.0,1.0,1
9.62,50.0,52.0,0.0,0.0,48.0,1.0,1.0,0
8.2,85.0,62.0,3.0,1.0,88.0,6.0,1.0,1
8.47,75.0,76.0,2.0,5.0,68.0,4.0,1.0,1
8.1,87.0,88.0,0.0,3.0,88.0,9.0,1.0,1
8.92,78.0,69.0,0.0,3.0,99.0,7.0,0.0,1
9.41,79.0,76.0,1.0,4.0,46.0,3.0,0.0,1
7.26,64.0,82.0,3.0,3.0,77.0,9.0,0.0,1
8.74,85.0,71.0,3.0,4.0,74.0,7.0,0.0,1
5.89,73.0,73.0,1.0,3.0,49.0,5.0,0.0,0
6.59,59.0,66.0,3.0,5.0,40.0,10.0,0.0,1
6.46,58.0,65.0,2.0,5.0,55.0,6.0,0.0,1
7.12,79.0,92.0,2.0,4.0,99.0,2.0,1.0,1
7.4,91.0,92.0,3.0,4.0,49.0,6.0,0.0,1
7.49,58.0,76.0,3.0,5.0,55.0,9.0,0.0,1
5.92,84.0,70.0,3.0,4.0,58.0,10.0,1.0,1
5.4,62.0,81.0,1.0,5.0,43.0,5.0,1.0,0
8.39,86.0,93.0,2.0,1.0,58.0,2.0,0.0,0
5.78,77.0,86.0,2.0,5.0,87.0,8.0,0.0,1
6.17,81.0,81.0,0.0,1.0,44.0,4.0,1.0,0
6.3,67.0,93.0,3.0,3.0,89.0,3.0,1.0,1
6.74,81.0,81.0,3.0,2.0,93.0,3.0,0.0,1
5.54,86.0,93.0,2.0,0.0,72.0,2.0,1.0,0
7.87,92.0,59.0,3.0,2.0,40.0,10.0,1.0,1
5.33,78.0,80.0,1.0,0.0,41.0,8.0,0.0,0
5.48,71.0,56.0,1.0,3.0,60.0,2.0,0.0,0
7.66,51.0,76.0,0.0,0.0,97.0,3.0,1.0,1
7.2,90.0,55.0,2.0,5.0,86.0,5.0,0.0,1
5.35,71.0,78.0,3.0,3.0,44.0,8.0,0.0,1
6.33,65.0,77.0,1.0,5.0,52.0,1.0,1.0,0
7.31,52.0,65.0,3.0,2.0,61.0,1.0,0.0,0
9.56,75.0,70.0,1.0,0.0,65.0,9.0,1.0,1
9.73,60.0,73.0,2.0,1.0,81.0,9.0,0.0,1
5.58,78.0,77.0,0.0,3.0,71.0,7.0,1.0,1
6.39,91.0,52.0,0.0,2.0,82.0,4.0,1.0,1
6.35,57.0,67.0,1.0,3.0,77.0,1.0,1.0,1
8.49,71.0,73.0,0.0,5.0,94.0,8.0,0.0,1
6.33,80.0,72.0,2.0,2.0,64.0,7.0,0.0,1
6.31,72.0,60.0,2.0,4.0,96.0,2.0,1.0,1
6.05,58.0,94.0,3.0,4.0,99.0,5.0,1.0,1
5.07,60.0,53.0,1.0,5.0,76.0,9.0,0.0,1
6.41,63.0,75.0,2.0,5.0,42.0,5.0,0.0,0
8.57,50.0,77.0,0.0,4.0,90.0,2.0,0.0,1
5.73,63.0,67.0,1.0,3.0,64.0,6.0,1.0,1
5.8,84.0,63.0,0.0,4.0,51.0,8.0,0.0,0
7.71,53.0,60.0,0.0,3.0,78.0,3.0,0.0,1
5.13,72.0,66.0,3.0,5.0,94.0,9.0,0.0,1
5.82,71.0,80.0,2.0,5.0,79.0,6.0,0.0,1
9.09,54.0,84.0,1.0,5.0,54.0,10.0,1.0,1
7.33,54.0,63.0,1.0,4.0,61.0,7.0,1.0,1
9.33,80.0,53.0,1.0,3.0,53.0,1.0,0.0,0
9.67,60.0,89.0,2.0,0.0,47.0,9.0,1.0,1
7.67,71.0,51.0,3.0,0.0,74.0,2.0,1.0,1
8.31,90.0,50.0,1.0,0.0,90.0,2.0,1.0,1
9.56,61.0,56.0,1.0,1.0,75.0,7.0,0.0,1
7.54,75.0,82.0,3.0,2.0,79.0,4.0,0.0,1
5.08,77.0,80.0,3.0,2.0,61.0,7.0,1.0,1
6.82,62.0,85.0,3.0,3.0,57.0,10.0,0.0,1
8.57,85.0,71.0,3.0,1.0,95.0,3.0,0.0,1
9.39,78.0,95.0,0.0,2.0,93.0,8.0,1.0,1
6.56,90.0,84.0,3.0,0.0,47.0,10.0,1.0,1
8.2,56.0,63.0,2.0,0.0,42.0,3.0,0.0,0
6.82,60.0,66.0,1.0,3.0,99.0,2.0,0.0,1
6.14,55.0,74.0,0.0,1.0,58.0,6.0,1.0,0
6.93,58.0,61.0,3.0,2.0,85.0,9.0,1.0,1
5.1,56.0,68.0,3.0,5.0,83.0,1.0,0.0,1
5.85,83.0,88.0,2.0,1.0,96.0,8.0,1.0,1
6.45,74.0,66.0,0.0,4.0,61.0,2.0,1.0,0
7.61,79.0,83.0,1.0,5.0,81.0,8.0,1.0,1
5.73,86.0,93.0,1.0,1.0,86.0,5.0,0.0,1
6.47,85.0,72.0,2.0,0.0,91.0,5.0,1.0,1
6.88,64.0,50.0,3.0,4.0,74.0,10.0,0.0,1
6.33,52.0,88.0,2.0,2.0,48.0,4.0,0.0,0
5.78,50.0,52.0,2.0,2.0,92.0,9.0,0.0,1
5.93,85.0,74.0,1.0,4.0,89.0,5.0,1.0,1
9.72,88.0,95.0,3.0,0.0,90.0,5.0,0.0,1
5.14,73.0,70.0,1.0,5.0,46.0,7.0,1.0,0
9.36,90.0,73.0,3.0,2.0,100.0,1.0,0.0,1
5.19,70.0,70.0,0.0,5.0,48.0,10.0,1.0,1
7.73,84.0,93.0,2.0,5.0,71.0,4.0,0.0,1
5.72,51.0,77.0,0.0,2.0,99.0,2.0,0.0,0
7.59,80.0,66.0,0.0,3.0,49.0,7.0,0.0,0
